Название,Ссылка,Описание,Дата релиза,Жанры,Разработчик,Общая оценка,Кол-во отзывов,Цена
inZOI,https://store.steampowered.com/app/2456740/inZOI/?snr=1_7_7_7000_150_1,"""Every life becomes a story"" Create your unique story by controlling and observing the lives of 'Zois'. Customize characters and build houses using inZOI's easy-to-use tools to live the life of your dreams and experience the different emotions of life created by its deep and detailed simulation.","27 Mar, 2025","Adventure, Casual, Simulation, Early Access, inZOI Studio, KRAFTON, Inc.",inZOI Studio,Mostly Positive,"4,337",13 999₸
eFootball™,https://store.steampowered.com/app/1665460/eFootball/?snr=1_7_7_7000_150_1,The feverish football game with a worldwide total of 850 million downloads is waiting for you! Play eFootball™ with users around the world!,"29 Sep, 2021","Simulation, Sports, Free To Play, KONAMI, KONAMI",KONAMI,Mixed,"1,706",Free To Play
Warspear Online,https://store.steampowered.com/app/326360/Warspear_Online/?snr=1_7_7_7000_150_1,"Create your hero and dive into an epic 2D MMORPG! Explore a vast open world, conquer castles, battle in free-for-all PvP, team up in guilds, join Alliance wars, explore dungeons, and celebrate with fun in-game events!","2 Nov, 2017","Massively Multiplayer, RPG, Free To Play, Titulum Enterprises Limited, Titulum Enterprises Limited",Titulum Enterprises Limited,Mixed,35,Free To Play
Albion Online,https://store.steampowered.com/app/761890/Albion_Online/?snr=1_7_7_7000_150_1,"Albion Online is a fantasy sandbox MMORPG featuring a player-driven economy, classless combat system, and intense PvP battles. Explore a vast open world full of danger and opportunity. Grow your wealth, forge alliances, and leave your mark on the world of Albion.","17 Jul, 2017","Massively Multiplayer, RPG, Free To Play, Sandbox Interactive GmbH, Sandbox Interactive GmbH",Sandbox Interactive GmbH,Mostly Positive,952,Free To Play
Nine Sols,https://store.steampowered.com/app/1809540/Nine_Sols/?snr=1_7_7_7000_150_1,"Nine Sols is a lore rich, hand-drawn 2D action-platformer featuring Sekiro-inspired deflection focused combat. Embark on a journey of eastern fantasy, explore the land once home to an ancient alien race, and follow a vengeful hero’s quest to slay the 9 Sols, formidable rulers of this forsaken realm.","28 May, 2024","Action, Adventure, Indie, RedCandleGames, RedCandleGames",RedCandleGames,Overwhelmingly Positive,920,1 740₸
Last Epoch,https://store.steampowered.com/app/899770/Last_Epoch/?snr=1_7_7_7000_150_1,"Uncover the Past, Reforge the Future. Ascend into one of 15 mastery classes and explore dangerous dungeons, hunt epic loot, craft legendary weapons, and wield the power of over a hundred transformative skill trees. Last Epoch is being developed by a team of passionate Action RPG enthusiasts.","21 Feb, 2024","Action, Adventure, Indie, RPG, Eleventh Hour Games, Eleventh Hour Games",Eleventh Hour Games,Very Positive,"6,863",8 800₸
Valheim,https://store.steampowered.com/app/892970/Valheim/?snr=1_7_7_7000_150_1,"A brutal exploration and survival game for 1-10 players, set in a procedurally-generated purgatory inspired by viking culture. Battle, build, and conquer your way to a saga worthy of Odin’s patronage!","2 Feb, 2021","Action, Adventure, Indie, RPG, Early Access, Iron Gate AB, Coffee Stain Publishing, Coffee Stain Publishing",Iron Gate AB,Very Positive,"2,894",2 650₸
No Rest for the Wicked,https://store.steampowered.com/app/1371980/No_Rest_for_the_Wicked/?snr=1_7_7_7000_150_1,"From Moon Studios, the award-winning developers of Ori and the Blind Forest and Ori and the Will of the Wisps comes No Rest for the Wicked, a visceral, precision Action RPG set to reinvent the genre.","18 Apr, 2024","Action, Adventure, RPG, Early Access, Moon Studios GmbH, Moon Studios GmbH, Moon Studios GmbH",Moon Studios GmbH,Mixed,"3,477",7 280₸
Phasmophobia,https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_7000_150_1,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.,"18 Sep, 2020","Action, Indie, Early Access, Kinetic Games, Kinetic Games",Kinetic Games,Very Positive,"4,501",5 200₸
"Warhammer 40,000: Space Marine 2",https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2/?snr=1_7_7_7000_150_1,Embody the superhuman skill and brutality of a Space Marine. Unleash deadly abilities and devastating weaponry to obliterate the relentless Tyranid swarms. Defend the Imperium in spectacular third-person action in solo or multiplayer modes.,"9 Sep, 2024","Action, Adventure, RPG, Saber Interactive, Focus Entertainment, Warhammer",Saber Interactive,Mostly Positive,"2,725",16 990₸
